fltno,count
00462,88092
00463,13698
00464,63050
00465,9
00466,612
00467,1867
00468,3
00469,10211
0046B,7
00470,9413
00471,3
00472,75800
00473,16376
00474,7744
00475,5065
00476,7178
00477,9533
00478,27107
00479,9651
00480,26434
00481,24948
00482,58282
00483,13
00484,42847
00485,1062
00486,163
00487,10
00488,15514
00489,1085
0048C,21
00490,63251
00491,34
00492,3845
00493,65
00494,3
00495,22038
00496,262
00497,16717
00498,13479
00499,3157
0049C,5
00500,83621
00501,35253
00502,56427
00503,1996
00504,16073
00505,8396
00506,4841
00507,1290
00508,3408
00509,919
0050C,8
0050P,2
00510,6334
00511,157
00512,8963
00513,6896
00514,198
00515,8521
00516,20060
00517,4223
00518,653
00519,26
00520,19244
00521,18
00522,19361
00523,17
00524,9177
00525,27
00526,8230
00527,155
00528,4488
00529,80
0052C,129
00530,29235
00531,843
00532,52266
00533,702
00534,4476
00535,763
00536,13880
00537,169
00538,23989
00539,40
0053C,94
00540,3071
00541,1756
00542,98
00543,648
00544,114
00545,1576
00546,162
00547,1628
00548,6910
00549,60
0054C,34
00550,26846
00551,37
00552,10165
00553,35
00554,8620
00555,7
00556,6475
00557,11
00558,1488
00559,2
0055L,3
00560,22222
00561,72
00562,5528
00563,1
00564,7861
00565,83
00566,14246
00567,14
00568,2766
00569,31
0056B,4
00570,14843
00571,39947
00572,301
00573,75
00574,11836
00575,1
00576,371
00577,28771
00578,52937
00580,33348
00581,7164
00582,47471
00583,40593
00584,1885
00585,59
00586,2862
00587,36509
00588,19898
00589,32076
0058B,6
0058C,2
00590,194
00591,56
00592,2369
00593,27
00594,40
00595,5152
00596,635
00597,7
00598,36196
00599,2
0059C,9
005G6,1
005T2,2
005Y6,1
00600,27971
00601,90770
00602,22453
00603,15583
00604,26739
00605,48665
00606,8869
00607,18880
00608,84327
00609,5077
0060C,59
00610,40613
00611,26207
00612,61149
00613,7046
00614,9445
00615,21526
00616,14265
00617,2745
00618,13302
00619,15
0061B,1
0061C,9
00620,25060
00621,45624
00622,24033
00623,22637
00624,360
00625,83410
00626,9134
00627,18016
00628,4063
00629,66
0062B,2
0062C,112
00630,62164
00631,12304
00632,16267
00633,16340
00634,5587
00635,4090
00636,48733
00637,19
00638,117
00639,7
0063B,2
0063C,3
00640,10777
00641,106399
00642,20391
00643,44120
00644,14576
00645,8231
00646,17942
00647,24695
00648,10090
00649,34
0064B,6
0064C,36
00650,160
00651,53141
00652,4722
00653,10
00654,943
00655,54
00656,1
00657,24344
00658,5571
00659,11307
00660,5406
00661,25895
00662,10536
00663,25
00664,11178
00665,1414
00666,17
00667,33
00668,17300
00669,246
0066C,40
00670,9804
00671,10590
00672,322
00673,49
00674,92
00675,423
00676,4818
00677,142
00678,63
00679,2423
0067C,16
00680,9783
00681,12059
00682,35839
00683,1348
00684,2839
00685,961
00686,16691
00687,355
00688,29758
00689,16065
00690,303
00691,515
00692,96
00693,87
00694,4679
00695,1469
00696,156
00697,27
00698,11549
00699,12685
0069C,7
00700,789
00701,44105
00702,5501
00703,20177
00704,2011
00705,18869
00706,2909
00707,26326
00708,2233
00709,24
0070C,3
00710,4974
00711,5955
00712,3308
00713,18053
00714,4533
00715,3146
00716,3461
00717,34894
00718,21936
00719,4973
0071A,1
0071B,2
0071C,2
00720,1705
00721,35588
00722,6873
00723,13339
00724,6072
00725,32683
00726,1807
00727,13628
00728,1263
00729,36491
0072C,20
00730,320
00731,19657
00732,83
00733,23112
00734,1125
00735,25252
00736,49
00737,3546
00738,31
00739,31368
0073C,11
0073D,24
00740,1931
00741,10122
00742,3067
00743,18691
00744,454
00745,2202
00746,588
00747,2
00748,844
00749,5725
0074C,1
00750,24
00751,5772
00752,2542
00753,1918
00754,1497
00755,18287
00756,14596
00757,2601
00758,198
00759,3561
0075B,1
0075C,9
00760,34
00761,1183
00762,1549
00763,48421
00764,722
00765,21
00766,18047
00767,1434
00768,1187
00769,3066
0076B,1
0076C,12
00770,2339
00771,327
00772,730
00773,428
00774,414
00775,3421
00776,6
00777,24256
00778,1276
00779,343
0077C,40
0077Y,1
00780,6135
00781,1747
00782,78706
00783,555
00784,52250
00785,4768
00786,50001
00787,8145
00788,7913
00789,1542
0078C,1
00790,3506
00791,1518
00792,67859
00793,4406
00794,69603
00795,3314
00796,158
00797,1521
00798,3407
00799,11389
0079C,1
00800,85
00801,139
00802,2731
00803,50
00804,28531
00805,972
00806,25349
00807,19
00808,40459
00809,6414
0080C,9
00810,13826
00811,20
00812,15369
00813,19
00814,904
00815,743
00816,85
00817,17326
00818,22151
00819,18594
0081C,77
0081M,1
0081V,2
00820,11346
00821,24893
00822,18519
00823,105
00824,6959
00825,3193
00826,20737
00827,88406
00828,7088
00829,1811
0082C,1
00830,56797
00831,184
00832,2975
00833,78
00834,28
00835,24
00836,30867
00837,20643
00838,21321
00839,132
00840,37685
00841,46
00842,1135
00843,1002
00844,24639
00845,1595
00846,33463
00847,72
00848,33975
00849,4
0084C,2
00850,32687
00851,27
00852,9365
00853,5699
00854,39
00855,8773
00857,878
00858,32960
00859,1646
0085A,2
0085C,52
00860,20868
00861,6
00862,26050
