cicid,count
533.0,8
534.0,6
535.0,9
536.0,9
537.0,8
538.0,8
539.0,6
540.0,8
541.0,8
542.0,9
543.0,9
544.0,9
545.0,8
546.0,8
547.0,8
548.0,6
549.0,8
550.0,8
551.0,7
552.0,6
553.0,6
554.0,7
555.0,8
556.0,8
557.0,8
558.0,6
559.0,7
560.0,7
561.0,6
562.0,7
563.0,8
564.0,9
565.0,9
566.0,7
567.0,9
568.0,9
569.0,5
570.0,8
571.0,8
572.0,6
573.0,8
574.0,9
575.0,10
576.0,9
577.0,8
578.0,7
579.0,8
580.0,7
581.0,8
582.0,8
583.0,6
584.0,6
585.0,8
586.0,7
587.0,7
588.0,5
589.0,4
590.0,5
591.0,4
592.0,6
593.0,6
594.0,7
595.0,6
596.0,9
597.0,9
598.0,7
599.0,8
600.0,7
601.0,7
602.0,8
603.0,7
604.0,9
605.0,6
606.0,6
607.0,7
608.0,8
609.0,7
610.0,7
611.0,6
612.0,7
613.0,7
614.0,6
615.0,7
616.0,5
617.0,7
618.0,7
619.0,5
620.0,7
621.0,8
622.0,7
623.0,6
624.0,6
625.0,7
626.0,9
627.0,8
628.0,9
629.0,9
630.0,7
631.0,8
632.0,8
633.0,4
634.0,5
635.0,4
636.0,7
637.0,4
638.0,7
639.0,5
640.0,6
641.0,7
642.0,6
643.0,6
644.0,5
645.0,7
646.0,7
647.0,7
648.0,7
649.0,5
650.0,6
651.0,5
652.0,5
653.0,7
654.0,7
655.0,6
656.0,5
657.0,5
658.0,4
659.0,4
660.0,6
661.0,9
662.0,6
663.0,7
664.0,6
665.0,8
666.0,7
667.0,9
668.0,9
669.0,9
670.0,7
671.0,6
672.0,9
673.0,8
674.0,8
675.0,7
676.0,6
677.0,9
678.0,8
679.0,9
680.0,6
681.0,7
682.0,7
683.0,7
684.0,6
685.0,9
686.0,8
687.0,9
688.0,5
689.0,7
690.0,7
691.0,7
692.0,5
693.0,6
694.0,6
695.0,5
696.0,5
697.0,7
698.0,6
699.0,6
700.0,6
701.0,6
702.0,6
703.0,6
704.0,5
705.0,6
706.0,3
707.0,4
708.0,6
709.0,6
710.0,4
711.0,5
712.0,5
713.0,6
714.0,7
715.0,6
716.0,5
717.0,5
718.0,6
719.0,7
720.0,7
721.0,7
722.0,6
723.0,8
724.0,8
725.0,6
726.0,5
727.0,7
728.0,6
729.0,7
730.0,7
731.0,5
732.0,3
733.0,4
734.0,5
735.0,6
736.0,6
737.0,5
738.0,6
739.0,5
740.0,6
741.0,5
742.0,6
743.0,6
744.0,5
745.0,8
746.0,8
747.0,5
748.0,8
749.0,8
750.0,8
751.0,7
752.0,7
753.0,6
754.0,7
755.0,6
756.0,8
757.0,8
758.0,7
759.0,7
760.0,7
761.0,7
762.0,8
763.0,7
764.0,6
765.0,7
766.0,7
767.0,6
768.0,5
769.0,6
770.0,5
771.0,4
772.0,5
773.0,5
774.0,7
775.0,8
776.0,6
777.0,7
778.0,7
779.0,9
780.0,7
781.0,8
782.0,7
783.0,6
784.0,5
785.0,6
786.0,5
787.0,5
788.0,6
789.0,5
790.0,6
791.0,5
792.0,6
793.0,7
794.0,6
795.0,7
796.0,6
797.0,9
798.0,7
799.0,8
800.0,6
801.0,7
802.0,6
803.0,6
804.0,5
805.0,7
806.0,6
807.0,9
808.0,8
809.0,7
810.0,5
811.0,7
812.0,6
813.0,6
814.0,5
815.0,4
816.0,7
817.0,5
818.0,5
819.0,6
820.0,7
821.0,7
822.0,8
823.0,7
824.0,8
825.0,7
826.0,7
827.0,6
828.0,7
829.0,6
830.0,6
831.0,7
832.0,7
833.0,7
834.0,5
835.0,7
836.0,7
837.0,9
838.0,5
839.0,8
840.0,7
841.0,5
842.0,4
843.0,7
844.0,6
845.0,6
846.0,4
847.0,5
848.0,6
849.0,7
850.0,6
851.0,4
852.0,4
853.0,6
854.0,8
855.0,8
856.0,7
857.0,8
858.0,8
859.0,6
860.0,6
861.0,4
862.0,4
863.0,4
864.0,5
865.0,6
866.0,5
867.0,6
868.0,7
869.0,7
870.0,9
871.0,7
872.0,6
873.0,7
874.0,6
875.0,7
876.0,5
877.0,7
878.0,8
879.0,8
880.0,8
881.0,6
882.0,8
883.0,8
884.0,7
885.0,7
886.0,7
887.0,6
888.0,9
889.0,7
890.0,7
891.0,7
892.0,7
893.0,7
894.0,8
895.0,6
896.0,8
897.0,8
898.0,7
899.0,6
900.0,7
901.0,7
902.0,6
903.0,6
904.0,6
905.0,6
906.0,7
907.0,8
908.0,6
909.0,5
910.0,7
911.0,7
912.0,6
913.0,7
914.0,7
915.0,9
916.0,7
917.0,8
918.0,9
919.0,8
920.0,9
921.0,7
922.0,7
923.0,7
924.0,9
925.0,7
926.0,8
927.0,7
928.0,8
929.0,8
930.0,7
931.0,6
932.0,5
933.0,7
934.0,6
935.0,7
936.0,7
937.0,8
938.0,7
939.0,7
940.0,7
941.0,6
942.0,6
943.0,6
944.0,6
945.0,6
946.0,7
947.0,8
948.0,8
949.0,7
950.0,6
951.0,8
952.0,8
953.0,7
954.0,8
955.0,8
956.0,8
957.0,7
958.0,7
959.0,8
960.0,8
961.0,6
962.0,7
963.0,7
964.0,9
965.0,8
966.0,7
967.0,7
968.0,8
969.0,9
970.0,8
971.0,8
972.0,7
973.0,8
974.0,8
975.0,8
976.0,8
977.0,8
978.0,9
979.0,9
980.0,8
981.0,9
982.0,7
983.0,7
984.0,8
985.0,7
986.0,7
987.0,8
988.0,6
989.0,7
990.0,7
991.0,7
992.0,7
993.0,9
994.0,8
995.0,6
996.0,8
997.0,7
998.0,6
999.0,6
1000.0,7
