arrdate,count
20775.0,105260
20776.0,105271
20777.0,105366
20778.0,88753
20779.0,82613
20780.0,80616
20781.0,96674
20782.0,95956
20783.0,86472
20784.0,91532
20785.0,82066
20786.0,86089
20787.0,71133
20788.0,78563
20789.0,99658
20790.0,95478
20791.0,99178
20792.0,93347
20793.0,87341
20794.0,72457
20795.0,78104
20796.0,92619
20797.0,85947
20798.0,103983
20799.0,90865
20800.0,92335
20801.0,77766
20802.0,95997
20803.0,117857
20804.0,126680
20805.0,129116
20806.0,125583
20807.0,126359
20808.0,131653
20809.0,135883
20810.0,153744
20811.0,159348
20812.0,134056
20813.0,121164
20814.0,143097
20815.0,130795
20816.0,125581
20817.0,119846
20818.0,107219
20819.0,79934
