dtaddto,count
04292017,80519
04292018,683
04292019,3
04302016,50374
04302017,41977
04302018,864
05012016,37594
05012017,40735
05012018,813
05012019,2
05022016,41742
05022017,42355
05022018,586
05032016,51122
05032017,43517
05032018,527
05032019,3
05042016,53698
05042017,47612
05042018,506
05042019,1
05042021,1
05052016,60001
05052017,42495
05052018,570
05052021,1
05060629,1
05062016,50523
05062017,36837
05062018,590
05062019,5
05072016,49754
05072017,34998
05072018,892
05072019,3
05072020,2
05082016,38468
05082017,37857
05082018,796
05082019,2
05092016,46415
05092017,48339
05092018,537
05102016,51099
05102017,50979
05102018,554
05112016,56964
05112017,53674
05112018,507
05112019,2
05112020,1
05112021,1
05122016,62138
05122017,44694
05122018,625
05122020,1
05122021,1
05132016,52319
05132017,39730
05132018,723
05142016,55606
05142017,38662
05142018,826
05142019,2
05152016,42188
05152017,43607
05152018,759
05162016,43563
05162017,48187
05162018,571
05162019,4
05162021,1
05172016,48343
05172017,50367
05172018,603
05172019,5
05182016,49825
05182017,49665
05182018,531
05182020,2
05182034,1
05192016,55181
05192017,41543
05192018,605
05192021,1
05202016,52704
05202017,38829
05202018,724
05202019,4
05212016,51989
05212017,39049
05212018,848
05212019,1
05222016,38004
05222017,47161
05222018,750
05222021,3
05232016,40612
05232017,47498
05232018,570
05232021,1
05242016,47431
05242017,38882
05242018,542
05242021,1
05252016,49606
05252017,35648
05252018,541
05252019,1
05262016,49796
05262017,26936
05262018,601
05262021,1
05272016,51959
05272017,29015
05272018,608
05272019,1
05282016,50279
05282017,30361
05282018,708
05292016,45746
05292017,34529
05292018,1240
05292021,1
05302016,43716
05302017,1691
05302018,833
05302019,1
05312016,49824
05312017,43746
05312018,690
06 02002,1
06012016,40227
06012017,41287
06012018,484
06012019,2
06022016,65220
06022017,42640
06022018,532
06032016,53053
06032017,39234
06032018,694
06032019,1
06042016,51406
06042017,35228
06042018,830
06042019,1
06052016,38879
06052017,31955
06052018,859
06062016,45266
06062017,36006
06062018,592
06062019,1
06072016,52704
06072017,42662
06072018,540
06072019,1
06072020,1
06082016,51069
06082017,42445
06082018,544
06082019,1
06082021,1
06082022,1
06091984,1
06092016,57380
06092017,50766
06092018,665
06102016,56448
06102017,41916
06102018,661
06112016,55891
06112017,38934
06112018,844
06122016,50768
06122017,40080
06122018,839
06132016,59418
06132017,47342
06132018,543
06132019,6
06142016,65735
06142017,62044
06142018,683
06142019,1
06152016,68070
06152017,65270
06152018,610
06162016,68900
06162017,69977
06162018,689
06172016,61465
06172017,64775
06172018,700
06182016,63785
06182017,64071
06182018,925
06182019,1
06192016,58107
06192017,69100
06192018,882
06202016,67483
06202017,68741
06202018,619
06202021,1
06212016,75688
06212017,74518
06212018,663
06212021,3
06222016,81410
06222017,78411
06222018,662
06222020,1
06232016,58691
06232017,69409
06232018,716
06232020,1
06242016,52072
06242017,63319
06242018,729
06242020,1
06252016,56889
06252017,60177
06252018,1043
06262016,61771
06262017,53858
06262018,919
06262019,2
06272016,53678
06272017,51476
06272018,711
06282016,58113
06282017,49005
06282018,805
06282040,2
06292016,63644
06292017,75430
06292018,745
06292019,1
06302016,92845
06302017,2235
06302018,857
06302019,1
07012016,80578
07012017,227
07012018,698
07022016,82507
07022017,187
07022018,923
07032016,77617
07032017,216
07032018,1292
07042016,78354
07042017,214
07042018,907
07052016,85417
07052017,196
07052018,780
07052019,1
07062016,89199
07062017,196
07062018,723
07072016,94438
07072017,257
07072018,889
07072019,3
07072020,3
07072021,4
07082016,92240
07082017,152
07082018,932
07092016,89108
07092017,208
07092018,1293
07092019,2
07102016,74496
07102017,302
07102018,1175
07102019,3
07112016,82022
07112017,197
07112018,836
07122016,93842
07122017,312
07122018,840
07122020,1
07132016,98551
07132017,307
07132018,798
07132021,1
07142016,92912
07142017,240
07142018,831
07142019,6
07142020,1
07142021,1
07152016,109443
07152017,326
07152018,937
07152019,7
07162016,98589
07162017,191
07162018,1091
07162019,2
07162020,4
07172016,80264
07172017,322
07172018,1038
07182016,85697
07182017,313
07182018,865
07182019,1
07192016,97539
07192017,279
07192018,846
07192019,2
07202016,102504
07202017,218
07202018,825
07202019,7
07212016,107999
07212017,234
07212018,800
07212019,1
07212020,5
07222016,93936
07222017,176
07222018,972
07232016,96932
07232017,192
07232018,1219
07232019,2
07242016,87643
07242017,357
07242018,1062
07242019,2
07252016,90834
07252017,236
07252018,902
07252021,1
07262016,103379
07262017,304
07262018,982
07272016,111993
07272017,253
07272018,920
07272020,1
07282016,117490
07282017,174
07282018,1024
07282019,1
07282021,1
07292016,109407
07292017,183
07292018,1046
07292019,2
07292020,1
07302016,102161
07302017,887
07302018,1226
07302019,2
07312016,97323
07312017,244
07312018,1232
07312019,1
08012016,98243
08012017,213
08012018,1082
08022016,110737
08022017,329
08022018,1045
08032016,104059
08032017,218
08032018,917
08032019,1
08032020,1
08042016,105716
08042017,194
08042018,1107
08042019,2
08042021,1
08052016,108176
08052017,227
08052018,998
08052019,1
08052020,1
08062016,103294
08062017,192
08062018,1253
08062019,2
08072016,88158
08072017,313
08072018,1108
08082016,88589
08082017,324
08082018,1049
08082021,2
08082099,5
08092016,100879
08092017,268
08092018,952
08092021,1
08100101,1
08102016,103660
08102017,209
08102018,780
08102019,1
08102022,1
08112016,109753
08112017,273
08112018,1020
08122016,102043
08122017,175
08122018,1097
08122019,1
08122020,2
08132016,96620
08132017,226
08132018,1215
08132019,1
08142016,84225
08142017,253
08142018,1141
08142021,1
08152016,83284
08152017,206
08152018,1028
08152021,1
08162016,91009
08162017,291
08162018,1014
08172016,95650
08172017,253
08172018,870
08172020,1
08182016,99544
08182017,225
08182018,913
08182019,1
08182021,1
08192016,92605
08192017,233
08192018,1000
08192019,2
08192181,1
08202016,89206
08202017,195
08202018,1159
08202019,1
08202020,1
08212016,75744
08212017,247
08212018,959
08222016,80133
08222017,251
08222018,835
08232016,90454
08232017,239
08232018,836
08242016,93391
08242017,222
08242018,775
08242019,2
08252016,100083
08252017,227
08252018,794
08262016,83420
08262017,211
08262018,919
08262816,1
08272016,88911
08272017,205
08272018,1062
08272019,2
08281963,1
08282013,1
08282016,79608
08282017,265
08282018,966
08282019,2
08292016,62045
08292017,211
08292018,756
08302016,63086
08302017,355
08302018,726
08312016,89908
08312017,264
08312018,691
08312019,1
09012016,98323
09012017,302
09012018,654
09022016,95630
09022017,205
09022018,694
09032016,103992
09032017,260
09032018,883
09032020,1
09032023,1
09042016,88670
09042017,230
09042018,1188
09042019,12
